Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;Quantidade de clientes – FGC
2017;2º;Menos de quatro milhões de clientes;Banco/financeira;7747410;SAX S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;1;5;5;11;136255; ;136255; 
2017;2º;Menos de quatro milhões de clientes;Banco/financeira;11970623;SENFF S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;0;2;2;40316; ;40316; 
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;SICREDI (conglomerado); ;0;1;0;1;2949569;2922845;109935;0
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;SOCIETE GENERALE (conglomerado); ;4;8;11;23;251132;1007;250200;61
2017;2º;Menos de quatro milhões de clientes;Banco/financeira;3881423;SOCINAL S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;0;2;2;0; ; ; 
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;SOCOPA (conglomerado); ;0;2;2;4;25307;9804;15715;2223
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;SOFISA (conglomerado); ;0;2;5;7;70159;59267;12201;23769
2017;2º;Menos de quatro milhões de clientes;Banco/financeira;4814563;SOROCRED   CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.; ;6;6;30;42;372895; ;372895; 
2017;2º;Menos de quatro milhões de clientes;Banco/financeira;9473806;TODESCREDI S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;0;1;1;14254; ;14254;
2017;2º;Menos de quatro milhões de clientes;Banco/financeira;5192316;VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS; ;0;1;0;1;285800;0;285800; 
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;VOLKSWAGEN (conglomerado); ;6;13;46;65;470819;1392;469762; 
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;VOLVO (conglomerado); ;1;0;4;5;10123;110;10116; 
2017;2º;Mais de quatro milhões de clientes;Conglomerado; ;VOTORANTIM (conglomerado);14,98;61;242;214;517;4069729;16822;4054669;4413
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;WESTERN UNION (conglomerado); ;0;2;3;5;3;3; ;1
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;YAMAHA MOTOR (conglomerado); ;0;5;10;15;108446;67;108381; 
